series	Series.no	plot.order	movie	release year	rotten tomatoes	poster
Prequels Trilogy	1	1	The Phantom Menace	1999	55	https://resizing.flixster.com/JOW_OytrCmI8ZWgwBvO5RyIynbw=/206x305/v2/https://resizing.flixster.com/_3Jg2zo_5UtwGB9ePBQMih7vFsE=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzY3MTU5YjJiLTg1NzktNDhiZC04ZTk2LTMwMmViOTg0YzUzYi53ZWJw
Prequels Trilogy	1	2	Attack of the Clones	2002	66	https://resizing.flixster.com/POQRKde_qu_Zil6LXkjZhYwV-fM=/206x305/v2/https://resizing.flixster.com/nok8G1F2gdYpAou9ohyEs-0lk1g=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2QzZGNiMmI3LTQwZjUtNDQwMS1iNzE1LWRlYmExYTc5NzM3MC53ZWJw
Prequels Trilogy	1	3	Revenge of the Sith	2005	79	https://resizing.flixster.com/5SII5gj7g5w3kM7k17XUbxShq28=/206x305/v2/https://resizing.flixster.com/KQEVO9S78wt6BVIo64hcgP2s-5M=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzg1MmZlZWZjLWVkYjgtNGM2Zi1iOGZhLWI1ZTdhYTVkZjgyYi53ZWJw
Prequels	2	4	Solo	2018	69	https://resizing.flixster.com/xq7b7m5keIA7NOcLk_hRgO28rMo=/206x305/v2/https://resizing.flixster.com/x95r5VkAatRldQAPKjuoaoU9Fhg=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzFmYzgxODBkLTQ3ODctNDlmMi1iMDQ4LWUzODljNjIwZTQ2NS53ZWJw
Prequels	2	5	Rogue One	2016	85	https://resizing.flixster.com/1ne86WK8fuD18ltjrPOYZOPJHqs=/206x305/v2/https://resizing.flixster.com/h-TyOat1uN53tvk8HgGonemlQsk=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzc1OGVjMjAyLWYyNjktNDBmMC1hY2I3LTNiMTU0ZjQ3OGY0ZC53ZWJw
Original Trilogy	3	6	A New Hope	1977	93	https://resizing.flixster.com/pdfNiHcOFudU5Hp5wPbiKvsB_7o=/206x305/v2/https://resizing.flixster.com/MAZqVEvK2G2YhAi06F8pUXyGR5g=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzQ4Y2VkZjJhLWRmMGYtNDljZC1iN2JhLTYzMjk1YzMxNWMwOC53ZWJw
Original Trilogy	3	7	The Empire Strikes Back	1980	94	https://resizing.flixster.com/PH4TWcYPvUjgO0GVku3GBFWOTD0=/206x305/v2/https://resizing.flixster.com/BYfuix1GHCVWJs5oh7Jujxy_oZs=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzliMTMxOGUzLWJlYmUtNDM3Mi04MWViLTllNDQ2MTU4NGQ0Mi53ZWJw
Original Trilogy	3	8	Return of the Jedi	1983	80	https://resizing.flixster.com/2Aho8QvKVfyJJ7Jak5AZo0s7ERE=/206x305/v2/https://resizing.flixster.com/qSidUO8Mdno0Vmg-_mSGH7tlqF8=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2VjZWQyODEyLTM2ZTgtNGMwYy04MTgyLTE4NDliOGJmMzA4MS53ZWJw
Sequels	4	9	The Force Awakens	2015	93	https://resizing.flixster.com/VHp_hiKpTTL9xYE4ry-E5FXPvUc=/206x305/v2/https://flxt.tmsimg.com/assets/p10989070_p_v13_bb.jpg
Sequels	4	10	The Last Jedi	2017	93	https://resizing.flixster.com/BJdoV9gCUvC4IfGhFuO9gOzvPHo=/206x305/v2/https://resizing.flixster.com/NpxNMdoSptZ9wsRtc7xs5atNC9k=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzZlZmZhNjViLWZkNGQtNDZiNS1iNjkwLTY5OGE1MzkxMDk4Ni53ZWJw
Sequels	4	11	The Rise of Skywalker	2019	51	https://resizing.flixster.com/Idj7Ub2LQUiqvUaSkt-j0wPQ3s4=/206x305/v2/https://resizing.flixster.com/nyQEEUdokTK91hsyvk18xi7tGTE=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2RhMGM0OTk2LTRiZDktNDg1ZC05NzQ5LTUzMzQwZjA1OWFlMy53ZWJw
